account_age_days,followers_count,following_count,posts_count,followers_to_following_ratio,posts_per_day,bio_length,has_external_url,sentiment_score,content_diversity,suspicious_content_score,spam_pattern_matches,engagement_rate,posting_regularity,activity_score,time_zone_consistency,network_isolation_score,mutual_connection_ratio,clustering_coefficient,reciprocity,network_score,profile_pic_score,is_default_image,is_stock_photo,is_ai_generated,Sentiment,Country,Account.Type,Gender,Thread.Entry.Type,Twitter.Verified,word_sex,word_good,word_woman,word_new,word_like,name_2_w,links_twitter,links_youtube,links_facebook,links_instagram,links_other,deberta_phishing_score,deberta_spam_confidence,is_threat
3175,14122,7875,18895,1.7932698412698413,5.951181102362205,193,1,0.16838927066912368,0.375756378506912,0.4571750275536186,6,0.3459732261630669,0.5644649201507126,0.056214421006794635,0.5515653034433535,0.3111538919207907,0.8879472934965286,0.6475467568286077,0.41428049579794635,0.2814062397341597,0.4566926994401057,1,0,0,negative,Brazil,individual,unknown,reply,no,1,2,3,3,2,1,1,1,2,1,1,0.5610768346060906,0.41800801254536524,1
3508,24820,9033,47910,2.7477028672644748,13.657354618015964,197,1,0.2676555738878854,0.13224012441065802,0.9691672663905854,1,0.3133747282810678,0.4571326449126326,0.2677893996705798,0.5974859347684773,0.31109465309795425,0.2861522782941136,0.6779024007160032,0.5359204559019719,0.5415043535956643,0.024385394615505818,0,1,0,positive,UK,individual,unknown,reply,no,4,0,4,0,4,1,0,1,2,1,0,1.0,0.7473629848283745,1
861,68431,4439,43831,15.415859427799054,50.90708478513356,348,0,0.4345659438642133,0.6076135260332347,0.03229101712660809,1,0.1160546188024082,0.9058110823832864,0.3245888291499839,0.28203123592704793,0.9450488119016045,0.19779542221686552,0.5312241493569239,0.2927888640257923,0.7837324841704867,0.270958866646427,1,0,0,neutral,Russia,individual,male,reply,no,3,1,3,3,3,2,2,1,1,2,0,0.08067541328034838,0.0,1
1295,55745,5972,362,9.334393837910248,0.27953667953667954,410,1,-0.9619354928145232,0.7276731823078335,0.3352956539609143,8,0.066438094328088,0.45802186936729083,0.11128586410051067,0.6832344483065328,0.42185860983800905,0.5125246047037462,0.28182976896510115,0.5315491726585095,0.545134522676847,0.02477329749310908,1,0,0,positive,Russia,individual,female,original,no,3,1,1,2,0,1,2,0,2,2,1,0.3644228311932857,0.2630303233043785,1
1131,50081,858,3454,58.36946386946387,3.0539345711759505,420,0,-0.7898288096551143,0.48207682323587886,0.48621296233866995,1,0.11527799128175709,0.10406450858874738,0.43813148480138653,0.7100173102612464,0.7895752958194944,0.21639068191539768,0.2004298809392393,0.6856081830756234,0.11005991237794877,0.91794173327685,1,0,0,neutral,Brazil,organisational,male,retweet,no,1,3,2,4,1,0,2,1,1,1,2,0.5451194321826839,0.4329913760488433,1
1096,70902,5519,21004,12.846892552998732,19.164233576642335,304,1,-0.2810330963455747,0.24583126828997104,0.0014649930691902346,9,0.8754747749452244,0.5970880391584586,0.3653508216842545,0.1959483843939216,0.6371626826581733,0.8707685182029015,0.6566455140829907,0.06250327733434036,0.5905348614721875,0.0290350905558594,0,0,0,negative,Brazil,individual,female,original,no,3,2,2,3,1,2,1,1,1,2,2,0.0,0.020550978244841766,1
3093,8711,7385,36023,1.1795531482735275,11.646621403168444,63,0,-0.6902800049568365,0.6208882691817477,0.8991271010066118,2,0.01119852538092525,0.622981046150319,0.6363239958202985,0.44363243859682955,0.31617570464926703,0.24441690100751923,0.9217071849899563,0.9673058998757007,0.11781090973865838,0.04959039511642682,1,0,0,negative,Other,individual,female,retweet,yes,1,4,1,2,4,2,0,2,2,2,0,0.799393635595851,0.7452992881172047,1
1639,85132,8636,17601,9.85780453913849,10.738865161683954,289,0,-0.8493599149108917,0.5391577233688495,0.2862444002121587,2,0.6928658695352891,0.7653300727930347,0.1958645595018137,0.4221055762812693,0.12379076044735393,0.31396592146376723,0.2128936970227756,0.16530359896679225,0.34744377243625224,0.29827549727736,0,0,1,negative,China,organisational,female,original,no,1,2,3,2,4,0,2,0,1,1,2,0.3514211753447915,0.22407101481189987,1
2170,18793,9980,5349,1.883066132264529,2.464976958525346,17,1,0.2819287919946638,0.17118572340371774,0.2577048321094443,1,0.7686242298882978,0.9332841415510088,0.9139854902173401,0.7489506483884493,0.7977423069309592,0.8884195415912142,0.5717643343734469,0.3602986632197107,0.558230986057208,0.6323288178659866,0,0,0,neutral,US,bot,unknown,original,no,2,3,2,0,0,1,1,2,2,1,0,0.29749914308917724,0.19291199855592925,1
467,8199,4317,39963,1.8992355802640724,85.57387580299786,63,1,0.6306729549821981,0.40568190050213027,0.8203261953537418,9,0.5678883041274289,0.44308168212345045,0.5159907788077632,0.666503060249372,0.7625036806883682,0.2056216199692914,0.5293249717969972,0.4706273625122561,0.9914149769186129,0.3579568378465007,0,0,0,positive,US,individual,female,reply,yes,0,2,3,4,1,1,1,1,1,1,2,0.8015733487135096,0.6809008818228209,1
