User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags
127337,nthompson,Capital can wind something must nearly.,56,1,3347,True,1,Port Morganshire,2020-08-04 23:36:10,wonder purpose
391036,amysmith,Network see record second management thank management.,25,5,4517,True,0,Russellville,2022-04-16 02:57:56,difficult significant at take difficult
850918,dstewart,Them relate question religious require popular.,61,0,6073,True,0,Port Jessicaborough,2023-05-13 20:43:12,upon all direction fly
187298,shepherdmichael,Stock concern here wind over course soon view part need.,0,3,4581,False,0,Port Laurenfurt,2023-05-15 08:49:57,mind
138974,owensbenjamin,Race sometimes argue him difference fall.,39,0,337,False,1,Franciscoton,2021-07-11 02:30:21,effort situation others different sort
388689,cgilbert,Report be cold box different itself camera new note hard accept bad.,39,0,3755,False,0,Hartfurt,2021-11-05 12:31:02,green
779715,roberttran,Manage whose quickly especially foot none to goal range case.,6,2,4363,True,0,Harrisonfurt,2022-08-08 03:16:54,phone ahead
289683,hinesstephanie,Authority research natural life material staff rate common protect attention.,55,5,9617,True,0,Sanderston,2022-11-26 05:18:10,both live
607798,juliesmith,Would mention respond because when break miss reflect name result garden dog.,78,1,2342,False,0,Griffithfort,2020-12-20 01:53:37,today question
387922,karenlopez,In change eat true miss interest vote cause attack.,63,4,2804,True,1,North Jasonfurt,2020-11-19 07:54:29,series instead behind
926923,tbecker,Character agreement mention arrive where teach parent husband development trip peace sense.,55,0,5278,False,1,Lindamouth,2020-08-04 01:19:47,plant account
107312,lesterdaniel,Job phone price magazine worry stage check view.,64,0,1442,False,1,Smithhaven,2022-06-12 16:45:16,option husband admit
267991,jwu,Man me seat group thought read lead thank hundred.,77,1,7006,False,0,North Josephville,2020-01-07 05:29:42,small knowledge
946597,thomasbenjamin,Approach result civil age including author.,64,5,6947,False,1,Port Mia,2022-04-16 20:10:18,about tough interesting
570928,james00,See wonder travel this suffer less yard office man certainly.,41,4,3792,True,1,West Cheyenne,2023-05-07 22:24:47,anyone respond perhaps market run
576805,hicksanthony,Through both practice point fear billion deep.,57,4,8694,False,1,Harrisbury,2020-08-30 10:04:51,
381356,xbaker,Message mission rate power visit nothing author determine need lose defense partner.,13,0,7925,False,0,Rochaville,2021-02-24 12:48:06,before enter cover gun
763755,eric75,Sing star rather test data improve.,21,3,6979,False,0,New Mary,2021-10-02 07:21:33,sometimes live
593693,kgarcia,Natural carry that compare energy establish.,7,3,7523,True,0,Mitchellmouth,2022-02-08 11:17:57,nature
131479,thomas43,Husband discover he continue security fish stand pass quickly.,7,0,706,False,1,North Heidihaven,2020-09-08 21:46:14,
